chart;rating;NA
canadian;0.5;;
spain;0;;
hong-kong;1;;
new-zealand;;;
u-k;0.5;;
uk;0.5;;
turkey;0;;
brasil;-1;;
portugal;0;;
croatia;2;;
austria;;;
finland;5;;
indonesia;;;
philippines;1;;
netherlands;;;
czech-republic;1;;
iceland;1;;
peru;;;
the-arabic;-5;;
ireland;0.5;;
switzerland;1;;
belgium;0.5;;
poland;;;
south-korea;1;;
malaysia;;;
sweden;2;;
bolivia;;;
mexico;0;;
italy;2;;
ecuador;0;;
argentina;0;;
japan;-2;;
china-tme-uni;2;;
norway;1;;
south-africa;-0.5;;
india;-2;;
luxembourg;;;
thailand-thai;0.5;;
taiwan;;;
global;0.75;;
chile;0;;
colombia;1;;
romania;-3;;
singapore;;;
hungary;;;
denmark;;;
greece;;;
slovakia;;;
france;-1;;
australia;0.5;;
germany;;;
alternative-rock;0;;
rock-airplay;0.75;;
hot-hard-rock;0.75;;
hard-rock-streaming;0.75;;
alternative-airplay;0.75;;
mainstream-rock-airplay;0.75;;
dance-electronic;0.75;;
latin;0;;
rnb;-0.5;;
rhythmic;;;
jazz;;;
world-digital;;;
global-200;;;
hot;0.75;;
greatest-200;;;
greatest-hot-100;5;;
hot;;;
80s;5;500;
90s;5;500;
pop;;;
adult-pop;;;
adult-contemporary-pop;;;
all-time-pop;3;;
all-time-alternative;3;;
adult-all-time-alternative;3;;
mainstream-rock;;;
tiktok;-1;;
rock-worldwide-shazam;;;
pop-worldwide-shazam;;;
dance-worldwide-shazam;;;
alternative-worldwide-shazam;;;
electronic-worldwide-shazam;;;
RO-shazam;;;
PH-shazam;;;
top-tracks-lastFM;;;
top-new-releases-lastFM;;;
most-loved-tracks-lastFM;;;
