chart;rating;NA
canadian;0.5;
spain;0.25;
hong-kong;;
new-zealand;;
u-k;0.5;
uk;0.5;
turkey;1;
brasil;0.25;
portugal;0.25;
croatia;2;
austria;;
finland;2;
indonesia;;
philippines;1;
netherlands;;
czech-republic;;
iceland;;
peru;;
the-arabic;1;
ireland;0.5;
switzerland;1;
belgium;0.5;
poland;;
south-korea;1;
malaysia;;
sweden;2;
bolivia;;
mexico;0.25;
italy;2;
ecuador;0.25;
argentina;0.25;
japan;-2;
china-tme-uni;2;
norway;1;
south-africa;;
india;-2;
luxembourg;;
thailand-thai;0.5;
taiwan;;
global;0.75;
chile;0.25;
colombia;1;
romania;-3;
singapore;;
hungary;;
denmark;;
greece;;
slovakia;;
france;-1;
australia;0.5;
germany;;
alternative-rock;0;
rock-airplay;0.75;
hot-hard-rock;0.75;
hard-rock-streaming;0.75;
alternative-airplay;0.75;
mainstream-rock-airplay;0.75;
dance-electronic;0.75;
latin;0.25;
rnb;0.1;
rhythmic;;
jazz;;
world-digital;;
global-200;;
hot;0.75;
greatest-200;;
greatest-hot-100;5;
hot;;
80s;2;
90s;2;
pop;;
adult-pop;;
adult-contemporary-pop;;
all-time-pop;3;
all-time-alternative;3;
adult-all-time-alternative;3;
mainstream-rock;;
tiktok;;
