artist;songName;rank;chart;date;urlYoutube
Shaboozey;A Bar Song (Tipsy);1;canadian;2024-05-14;https://www.youtube.com/results?search_query=Shaboozey+A+Bar+Song+(Tipsy)+lyrics
Kendrick Lamar;Not Like Us;2;canadian;2024-05-14;https://www.youtube.com/results?search_query=Kendrick+Lamar+Not+Like+Us+lyrics
Tommy Richman;Million Dollar Baby;3;canadian;2024-05-14;https://www.youtube.com/results?search_query=Tommy+Richman+Million+Dollar+Baby+lyrics
Benson Boone;Beautiful Things;4;canadian;2024-05-14;https://www.youtube.com/results?search_query=Benson+Boone+Beautiful+Things+lyrics
Kendrick Lamar;Euphoria;5;canadian;2024-05-14;https://www.youtube.com/results?search_query=Kendrick+Lamar+Euphoria+lyrics
Sabrina Carpenter;Espresso;7;canadian;2024-05-14;https://www.youtube.com/results?search_query=Sabrina+Carpenter+Espresso+lyrics
Taylor Swift Featuring Post Malone;Fortnight;8;canadian;2024-05-14;https://www.youtube.com/results?search_query=Taylor+Swift+Featuring+Post+Malone+Fortnight+lyricsKeung To
Oki Featuring Sobel;Ile Lat;1;poland;2024-05-15;https://www.youtube.com/results?search_query=Oki+Featuring+Sobel+Ile+Lat+lyrics
Gya X Babasha;Baklava;1;romania;2024-05-15;https://www.youtube.com/results?search_query=Gya+X+Babasha+Baklava+lyrics
Rose Villain Feat. Gue;Come Un Tuono;1;italy;2024-05-15;https://www.youtube.com/results?search_query=Rose+Villain+Feat.+Gue+Come+Un+Tuono+lyrics
Saiko Featuring JC Reyes;Badgyal;1;spain;2024-05-15;https://www.youtube.com/results?search_query=Saiko+Featuring+JC+Reyes+Badgyal+lyrics
BINI;Pantropiko;1;philippines;2024-05-15;https://www.youtube.com/results?search_query=BINI+Pantropiko+lyrics
Keung To;You're Out Of This World;1;hong-kong;2024-05-15;https://www.youtube.com/results?search_query=Keung+To+You're+Out+Of+This+World+lyrics
Bayhan;Tiryakinim;1;turkey;2024-05-15;https://www.youtube.com/results?search_query=Bayhan+Tiryakinim+lyrics
Artemas;I Like The Way You Kiss Me;1;austria;2024-05-15;https://www.youtube.com/results?search_query=Artemas+I+Like+The+Way+You+Kiss+Me+lyrics
Gustavo Moura & Rafael;Digitando;1;brasil;2024-05-15;https://www.youtube.com/results?search_query=Gustavo+Moura+&+Rafael+Digitando+lyrics
Mizzy Miles Featuring Van Zee & Bispo;Bencao;1;portugal;2024-05-15;https://www.youtube.com/results?search_query=Mizzy+Miles+Featuring+Van+Zee+&+Bispo+Bencao+lyrics
Henry Moodie;Drunk Text;1;indonesia;2024-05-15;https://www.youtube.com/results?search_query=Henry+Moodie+Drunk+Text+lyrics
Grse & Miach;Fantazija;1;croatia;2024-05-15;https://www.youtube.com/results?search_query=Grse+&+Miach+Fantazija+lyrics
JVG;Rallikansa;1;finland;2024-05-15;https://www.youtube.com/results?search_query=JVG+Rallikansa+lyrics
Roxy Dekker;Sugardaddy;1;netherlands;2024-05-15;https://www.youtube.com/results?search_query=Roxy+Dekker+Sugardaddy+lyrics
Aron Can;MONNI;1;iceland;2024-05-15;https://www.youtube.com/results?search_query=Aron+Can+MONNI+lyrics
Rvssian, Rauw Alejandro & Ayra Starr;Santa;1;peru;2024-05-15;https://www.youtube.com/results?search_query=Rvssian,+Rauw+Alejandro+&+Ayra+Starr+Santa+lyrics
