artist;songName;rank;chart;date;urlYoutube
Boyz II Men;I'll Make Love To You;7;90s;2024-05-16;https://www.youtube.com/results?search_query=Boyz+II+Men+I'll+Make+Love+To+You+lyrics
Bakar Featuring Summer Walker;Hell N Back;6;alternative-rock;2024-05-16;https://www.youtube.com/results?search_query=Bakar+Featuring+Summer+Walker+Hell+N+Back+lyrics
Sin Limite;Ya Me Entere;6;bolivia;2024-05-16;https://www.youtube.com/results?search_query=Sin+Limite+Ya+Me+Entere+lyrics
Sergei Barracuda;Smej Se Ted;6;czech-republic;2024-05-16;https://www.youtube.com/results?search_query=Sergei+Barracuda+Smej+Se+Ted+lyrics
Thor Farlov Featuring Noah Carter;Alt Det;6;denmark;2024-05-16;https://www.youtube.com/results?search_query=Thor+Farlov+Featuring+Noah+Carter+Alt+Det+lyrics
SDP, Sido & Esther Graf;Mama Hat Gesagt;6;germany;2024-05-16;https://www.youtube.com/results?search_query=SDP,+Sido+ +Esther+Graf+Mama+Hat+Gesagt+lyrics
LILA Featuring RACK;9ari;6;greece;2024-05-16;https://www.youtube.com/results?search_query=LILA+Featuring+RACK+9ari+lyrics
Keung To;Dark Moon;6;hong-kong;2024-05-16;https://www.youtube.com/results?search_query=Keung+To+Dark+Moon+lyrics
Manuel;Tiara;6;hungary;2024-05-16;https://www.youtube.com/results?search_query=Manuel+Tiara+lyrics
CLUBDUB;Bad Bitch I RVK;6;iceland;2024-05-16;https://www.youtube.com/results?search_query=CLUBDUB+Bad+Bitch+I+RVK+lyrics
Ariana Grande;Intro (End Of The World);6;indonesia;2024-05-16;https://www.youtube.com/results?search_query=Ariana+Grande+Intro+(End+Of+The+World)+lyrics
3 Doors Down;Loser;6;mainstream-rock;2024-05-16;https://www.youtube.com/results?search_query=3+Doors+Down+Loser+lyrics
Young Leosia Featuring Francis;Przester;6;poland;2024-05-16;https://www.youtube.com/results?search_query=Young+Leosia+Featuring+Francis+Przester+lyrics
Kali x Alan Murin & Shorty;Mam Ta Rad;6;slovakia;2024-05-16;https://www.youtube.com/results?search_query=Kali+x+Alan+Murin+ +Shorty+Mam+Ta+Rad+lyrics
Kabza De Small & Mthunzi Featuring Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush;Imithandazo;6;south-africa;2024-05-16;https://www.youtube.com/results?search_query=Kabza+De+Small+ +Mthunzi+Featuring+Young+Stunna,+DJ+Maphorisa,+Sizwe+Alakine+ +Umthakathi+Kush+Imithandazo+lyrics
Johnny Cash;The Chicken In Black;6;tiktok;2024-05-16;https://www.youtube.com/results?search_query=Johnny+Cash+The+Chicken+In+Black+lyrics
Jungle;Back On 74;7;dance-electronic;2024-05-16;https://www.youtube.com/results?search_query=Jungle+Back+On+74+lyrics
Manutsawe;Lok Ti Bak Wai;7;thailand-thai;2024-05-16;https://www.youtube.com/results?search_query=Manutsawe+Lok+Ti+Bak+Wai+lyrics
Mirella;Uuteen Eiliseen;9;finland;2024-05-16;https://www.youtube.com/results?search_query=Mirella+Uuteen+Eiliseen+lyrics
Miss Li Featuring Eah Je;Maraton;9;sweden;2024-05-16;https://www.youtube.com/results?search_query=Miss+Li+Featuring+Eah+Je+Maraton+lyrics
Jala Brat & Buba Corelli;Rosalia;9;croatia;2024-05-16;https://www.youtube.com/results?search_query=Jala+Brat+ +Buba+Corelli+Rosalia+lyrics
Blondie;Call Me;9;80s;2024-05-16;https://www.youtube.com/results?search_query=Blondie+Call+Me+lyrics
Mumford & Sons;Guiding Light;11;adult-all-time-alternative;2024-05-16;https://www.youtube.com/results?search_query=Mumford+ +Sons+Guiding+Light+lyrics
SHAED;Trampoline;11;all-time-alternative;2024-05-16;https://www.youtube.com/results?search_query=SHAED+Trampoline+lyrics
Maroon 5;One More Night;11;all-time-pop;2024-05-16;https://www.youtube.com/results?search_query=Maroon+5+One+More+Night+lyrics
The Chainsmokers Featuring Halsey;Closer;14;greatest-hot-100;2024-05-16;https://www.youtube.com/results?search_query=The+Chainsmokers+Featuring+Halsey+Closer+lyrics
Simone Mendes;Dois Tristes;7;brasil;2024-05-16;https://www.youtube.com/results?search_query=Simone+Mendes+Dois+Tristes+lyrics
Xavi;Corazon de Piedra;7;latin;2024-05-16;https://www.youtube.com/results?search_query=Xavi+Corazon+de+Piedra+lyrics
El Bobe;Fake Love;7;spain;2024-05-16;https://www.youtube.com/results?search_query=El+Bobe+Fake+Love+lyrics
Cheb Khaled;C'est La Vie;8;the-arabic;2024-05-16;https://www.youtube.com/results?search_query=Cheb+Khaled+C'est+La+Vie+lyrics
Lvbel C5;nE !?;8;turkey;2024-05-16;https://www.youtube.com/results?search_query=Lvbel+C5+nE+!?+lyrics
Karol G & Tiesto;Contigo;8;dance-electronic;2024-05-16;https://www.youtube.com/results?search_query=Karol+G+ +Tiesto+Contigo+lyrics
Hai Lai A Mu;Bu Ru Jian Yi Mian;10;china-tme-uni;2024-05-16;https://www.youtube.com/results?search_query=Hai+Lai+A+Mu+Bu+Ru+Jian+Yi+Mian+lyrics
OLGA;Uus Bitch;10;finland;2024-05-16;https://www.youtube.com/results?search_query=OLGA+Uus+Bitch+lyrics
Medina;Que Sera;10;sweden;2024-05-16;https://www.youtube.com/results?search_query=Medina+Que+Sera+lyrics
Omoinotake;Billions Of Light Years;4;japan;2024-05-16;https://www.youtube.com/results?search_query=Omoinotake+Billions+Of+Light+Years+lyrics
Michael Marcagi;Scared To Start;7;alternative-rock;2024-05-16;https://www.youtube.com/results?search_query=Michael+Marcagi+Scared+To+Start+lyrics
Wang & Dani Gambino;Terrano;7;greece;2024-05-16;https://www.youtube.com/results?search_query=Wang+ +Dani+Gambino+Terrano+lyrics
Three Days Grace;Break;7;mainstream-rock;2024-05-16;https://www.youtube.com/results?search_query=Three+Days+Grace+Break+lyrics
Bletka;B012;7;poland;2024-05-16;https://www.youtube.com/results?search_query=Bletka+B012+lyrics
Firdhaus & DIOR;Zai Jia Na Gong He Guo Li Hun;7;taiwan;2024-05-16;https://www.youtube.com/results?search_query=Firdhaus+ +DIOR+Zai+Jia+Na+Gong+He+Guo+Li+Hun+lyrics
Capo Plaza;Ferite;10;italy;2024-05-16;https://www.youtube.com/results?search_query=Capo+Plaza+Ferite+lyrics
Kenny Rogers;Lady;10;80s;2024-05-16;https://www.youtube.com/results?search_query=Kenny+Rogers+Lady+lyrics
George Ezra;Budapest;12;adult-all-time-alternative;2024-05-16;https://www.youtube.com/results?search_query=George+Ezra+Budapest+lyrics
Fuel;Hemorrhage (In My Hands);12;all-time-alternative;2024-05-16;https://www.youtube.com/results?search_query=Fuel+Hemorrhage+(In+My+Hands)+lyrics
Mariah Carey;We Belong Together;15;greatest-hot-100;2024-05-16;https://www.youtube.com/results?search_query=Mariah+Carey+We+Belong+Together+lyrics
Nont Tanont;Chum Non;8;thailand-thai;2024-05-16;https://www.youtube.com/results?search_query=Nont+Tanont+Chum+Non+lyrics
Gazo & Tiakola;Mami Wata;6;france;2024-05-16;https://www.youtube.com/results?search_query=Gazo+ +Tiakola+Mami+Wata+lyrics
Emanero, Angela Torres, Karina & J mena;Sinverguenza;8;argentina;2024-05-16;https://www.youtube.com/results?search_query=Emanero,+Angela+Torres,+Karina+ +J+mena+Sinverguenza+lyrics
Thullio Milionario;Casca de Bala;8;brasil;2024-05-16;https://www.youtube.com/results?search_query=Thullio+Milionario+Casca+de+Bala+lyrics
Engel Montaz;Cupido;8;chile;2024-05-16;https://www.youtube.com/results?search_query=Engel+Montaz+Cupido+lyrics
Karol G & Peso Pluma;Qlona;8;latin;2024-05-16;https://www.youtube.com/results?search_query=Karol+G+ +Peso+Pluma+Qlona+lyrics
Rels B & Junior H;Un Desperdicio;8;mexico;2024-05-16;https://www.youtube.com/results?search_query=Rels+B+ +Junior+H+Un+Desperdicio+lyrics
Omar Montes;La Sevillana;8;spain;2024-05-16;https://www.youtube.com/results?search_query=Omar+Montes+La+Sevillana+lyrics
Bausa & Amara;Solvskje;9;norway;2024-05-16;https://www.youtube.com/results?search_query=Bausa+ +Amara+Solvskje+lyrics
Hev Abi;Alam Mo Ba Girl;9;philippines;2024-05-16;https://www.youtube.com/results?search_query=Hev+Abi+Alam+Mo+Ba+Girl+lyrics
TWS: 24/7:WITH:US;Plot Twist;9;south-korea;2024-05-16;https://www.youtube.com/results?search_query=TWS:+24/7:WITH:US+Plot+Twist+lyrics
Al Shami;Sabran;9;the-arabic;2024-05-16;https://www.youtube.com/results?search_query=Al+Shami+Sabran+lyrics
Mela Bedel;Ben Sana Gelemem;9;turkey;2024-05-16;https://www.youtube.com/results?search_query=Mela+Bedel+Ben+Sana+Gelemem+lyrics
Liu Yaowen;Last Night;11;china-tme-uni;2024-05-16;https://www.youtube.com/results?search_query=Liu+Yaowen+Last+Night+lyrics
Bee;Maljapuhe;11;finland;2024-05-16;https://www.youtube.com/results?search_query=Bee+Maljapuhe+lyrics
Kygo With Ava Max;Whatever;9;dance-electronic;2024-05-16;https://www.youtube.com/results?search_query=Kygo+With+Ava+Max+Whatever+lyrics
